1	46
16	46
42	46
2	47
17	47
43	47
3	48
18	48
44	48
4	49
19	49
45	49
5	50
20	50
31	50
6	51
21	51
32	51
7	52
22	52
33	52
8	53
23	53
34	53
9	54
24	54
35	54
10	55
25	55
36	55
11	56
26	56
37	56
12	57
27	57
38	57
13	58
28	58
39	58
14	59
29	59
40	59
15	60
30	60
41	60
1	61
21	61
40	61
2	62
22	62
41	62
3	63
23	63
42	63
4	64
24	64
43	64
5	65
25	65
44	65
6	66
26	66
45	66
7	67
27	67
31	67
8	68
28	68
32	68
9	69
29	69
33	69
10	70
30	70
34	70
11	71
16	71
35	71
12	72
17	72
36	72
13	73
18	73
37	73
14	74
19	74
38	74
15	75
20	75
39	75
1	76
19	76
41	76
2	77
20	77
42	77
3	78
21	78
43	78
4	79
22	79
44	79
5	80
23	80
45	80
6	81
24	81
31	81
7	82
25	82
32	82
8	83
26	83
33	83
9	84
27	84
34	84
10	85
28	85
35	85
11	86
29	86
36	86
12	87
30	87
37	87
13	88
16	88
38	88
14	89
17	89
39	89
15	90
18	90
40	90
1	91
26	91
31	91
2	92
27	92
32	92
3	93
28	93
33	93
4	94
29	94
34	94
5	95
30	95
35	95
6	96
16	96
36	96
7	97
17	97
37	97
8	98
18	98
38	98
9	99
19	99
39	99
10	100
20	100
40	100
11	101
21	101
41	101
12	102
22	102
42	102
13	103
23	103
43	103
14	104
24	104
44	104
15	105
25	105
45	105
